Job Title,Company,Location,Work Type,Salary,Link
Learning Operation Intern,Arkademi,"Cilandak, Jakarta Selatan, DKI Jakarta, Indonesia",Minimal Sarjana (S1),"Rp2,5jt-Rp2,5jt",https://glints.com/id/opportunities/jobs/learning-operation-intern/3e2b6753-c267-474b-9923-e4d7474b364e?utm_referrer=explore
Beauty Advisor (Pekanbaru),PT NRI Global Mandiri (Nature Republic Indonesia),"Pekanbaru Kota, Pekanbaru, Riau, Indonesia",Teknik Sipil,"Rp2,5jt-Rp2,5jt",https://glints.com/id/opportunities/jobs/beauty-advisor-pekanbaru/fed88383-9aad-4264-b594-90f197cd8c36?utm_referrer=explore
Host Live & Content Creator,DIGIWORKS,"Antapani, Bandung, Jawa Barat, Indonesia",CAD,"Rp1,5jt-Rp4,5jt",https://glints.com/id/opportunities/jobs/host-live-and-content-creator/e7da5f4a-9c92-404e-a3b9-b16eb4efe158?utm_referrer=explore
SECURITY,PT. Nur Elang Persada,"Tuban, Tuban, Jawa Timur, Indonesia",+2,Rp2jt-Rp3jt,https://glints.com/id/opportunities/jobs/security/fb374a44-fbf3-4eb5-9be0-8f37c7633a80?utm_referrer=explore
SECURITY,PT. Nur Elang Persada,"Gresik, Gresik, Jawa Timur, Indonesia",Magang,N/A,https://glints.com/id/opportunities/jobs/security/793c18c3-da4e-47b4-95bd-20a344c6aedd?utm_referrer=explore
SECURITY,PT. Nur Elang Persada,"Mojosari, Mojokerto, Jawa Timur, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/security/2e48e6af-1839-495f-91ba-fe79cdc36762?utm_referrer=explore
SECURITY,PT. Nur Elang Persada,"Wonocolo, Surabaya, Jawa Timur, Indonesia",Minimal SMA/SMK,N/A,https://glints.com/id/opportunities/jobs/security/76620b4e-799f-4ea5-8816-26fa70c5d40b?utm_referrer=explore
Cleaning Service,PT Karya Usaha Baru,"Leces, Probolinggo, Jawa Timur, Indonesia",Mvc Frameworks,N/A,https://glints.com/id/opportunities/jobs/cleaning-service/02ef2607-c41d-4d20-a5c6-ed9349d9bc6e?utm_referrer=explore
REVISI,PT Karya Usaha Baru,"Kebomas, Gresik, Jawa Timur, Indonesia",SQL/NoSQL,N/A,https://glints.com/id/opportunities/jobs/revisi/88474195-1323-4efb-b48f-e6a062b05629?utm_referrer=explore
PACKING,PT Karya Usaha Baru,"Kebomas, Gresik, Jawa Timur, Indonesia",+11,N/A,https://glints.com/id/opportunities/jobs/packing/8665509c-2a43-436e-9e32-5e040714c461?utm_referrer=explore
Cost Control Management Staff,WOM Finance Mega Glodok Kemayoran ,"Tanjung Priok, Jakarta Utara, DKI Jakarta, Indonesia",Magang,N/A,https://glints.com/id/opportunities/jobs/cost-control-management-staff/031f5a91-a5f0-4acc-8b75-e78fbbbe3d1b?utm_referrer=explore
FORKLIFT,PT Karya Usaha Baru,"Kebomas, Gresik, Jawa Timur, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/forklift/3503b835-cc18-4e89-9b8b-50339b7fb422?utm_referrer=explore
GRADDING,PT Karya Usaha Baru,"Kebomas, Gresik, Jawa Timur, Indonesia",Minimal Sarjana (S1),N/A,https://glints.com/id/opportunities/jobs/gradding/880a1c3a-1932-4f8a-bbcc-368ee8762114?utm_referrer=explore
MOULDING,PT Karya Usaha Baru,"Kebomas, Gresik, Jawa Timur, Indonesia",Good Communication Skills,N/A,https://glints.com/id/opportunities/jobs/moulding/fd00a15a-7843-43fd-8e4b-02d6d1c4e9c7?utm_referrer=explore
Supervisor Sales,Yamaha Meji Sakti Motor,"Tambaksari, Surabaya, Jawa Timur, Indonesia",+3,N/A,https://glints.com/id/opportunities/jobs/supervisor-sales/20548386-b7b9-4c2d-a99a-56bde1dbe749?utm_referrer=explore
CROSSCUT,PT Karya Usaha Baru,"Kebomas, Gresik, Jawa Timur, Indonesia",Kontrak,N/A,https://glints.com/id/opportunities/jobs/crosscut/565b7b69-1819-4464-a847-06baa9080b91?utm_referrer=explore
Creative Designer (Internship),PT Homeco Victoria Makmur,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/creative-designer-internship/55ddaf24-53ab-4f6d-8f41-479f1c490f21?utm_referrer=explore
Drone Pilot Spraying (Kalimantan),PT Terra Drone Indonesia,"Sebulu, Kutai Kartanegara, Kalimantan Timur, Indonesia",Minimal SMA/SMK,N/A,https://glints.com/id/opportunities/jobs/drone-pilot-spraying-kalimantan/04d9d8f5-e710-49c0-8f1f-dcbdf9a05fdc?utm_referrer=explore
Garden (DW),Kashantee Village,"Kuta, Badung, Bali, Indonesia",Beauty Advisor,N/A,https://glints.com/id/opportunities/jobs/garden-dw/4ddbceff-7b11-4cef-92f4-91489618fca4?utm_referrer=explore
Waitress (DW),Kashantee Village,"Kuta, Badung, Bali, Indonesia",Cosmetics & Beauty,N/A,https://glints.com/id/opportunities/jobs/waitress-dw/7f7718cb-5c48-4c43-aa14-6004b19c03a6?utm_referrer=explore
Sales Engineer,PT Fujitec Indonesia,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",+14,N/A,https://glints.com/id/opportunities/jobs/sales-engineer/96385f49-7e30-43e6-a62c-1d41897e28d6?utm_referrer=explore
Data Engineer,Pt. Quantus Telematika Indonesia,"Coblong, Bandung, Jawa Barat, Indonesia",Penuh Waktu,N/A,https://glints.com/id/opportunities/jobs/data-engineer/0c0e594f-1d27-405b-9559-abd85a906607?utm_referrer=explore
